Name,Ticker
Apple,AAPL
Microsoft,MSFT
Alphabet (Google),GOOG
Amazon,AMZN
NVIDIA,NVDA
Tesla,TSLA
Berkshire Hathaway,BRK-B
Meta Platforms (Facebook),META
Visa,V
UnitedHealth,UNH
Eli Lilly,LLY
JPMorgan Chase,JPM
Exxon Mobil,XOM
Johnson & Johnson,JNJ
Walmart,WMT
Mastercard,MA
Procter & Gamble,PG
Broadcom,AVGO
Oracle,ORCL
Home Depot,HD
Chevron,CVX
Merck,MRK
Coca-Cola,KO
Pepsico,PEP
AbbVie,ABBV
Costco,COST
Bank of America,BAC
Adobe,ADBE
McDonald,MCD
Cisco,CSCO
Salesforce,CRM
Pfizer,PFE
Thermo Fisher Scientific,TMO
Netflix,NFLX
Abbott Laboratories,ABT
AMD,AMD
Comcast,CMCSA
Danaher,DHR
T-Mobile US,TMUS
Walt Disney,DIS
Wells Fargo,WFC
Nike,NKE
Texas Instruments,TXN
United Parcel Service,UPS
Philip Morris,PM
Verizon,VZ
Nextera Energy,NEE
Raytheon Technologies,RTX
Morgan Stanley,MS
Honeywell,HON
Intel,INTC
Bristol-Myers Squibb,BMY
Lowe's Companies,LOW
QUALCOMM,QCOM
Boeing,BA
American Express,AXP
Caterpillar,CAT
S&P Global,SPGI
Intuit,INTU
ConocoPhillips,COP
Union Pacific Corporation,UNP
IBM,IBM
Deere & Company,DE
General Electric,GE
Applied Materials,AMAT
Amgen,AMGN
Lockheed Martin,LMT
Intuitive Surgical,ISRG
ServiceNow,NOW
Prologis,PLD
AT&T,T
Stryker Corporation,SYK
Starbucks,SBUX
Goldman Sachs,GS
Charles Schwab,SCHW
BlackRock,BLK
Elevance Health,ELV
Mondelez,MDLZ
Booking Holdings (Booking.com),BKNG
TJX Companies,TJX
Analog Devices,ADI
Gilead Sciences,GILD
Marsh & McLennan Companies,MMC
American Tower,AMT
Automatic Data Processing,ADP
Citigroup,C
CVS Health,CVS
Vertex Pharmaceuticals,VRTX
Uber,UBER
Lam Research,LRCX
Airbnb,ABNB
Altria Group,MO
Cigna,CI
HCA Healthcare,HCA
Fiserv,FI
Zoetis,ZTS
Southern Company,SO
Progressive,PGR
Regeneron Pharmaceuticals,REGN
Palo Alto Networks,PANW
