ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap
AAPL,2023-07-12,Technology,29.273487,0.0,0.0,194.48,124.17,189.68,188.08,26845497,0.764,51012280,2970051936256
MSFT,2023-07-12,Technology,31.556665,0.0,0.0,351.47,213.43,336.6,332.47,13139735,1.655,22791880,2507165925376
GOOG,2023-07-12,Communication Services,4.9230337,0.0,0.0,129.55,83.45,119.3,117.71,8871112,2.195,21102290,1524668956672
AMZN,2023-07-12,Consumer Cyclical,16.648556,0.0,0.0,146.57,81.43,130.31,128.78,22748154,0.689,45253080,1326875017216
NVDA,2023-07-12,Technology,179.64258,0.0,0.0,439.9,108.13,430.33,424.05,22765716,2.672,37582070,1076719321088
TSLA,2023-07-12,Consumer Cyclical,13.816237,0.0,0.0,314.66666,101.81,276.325,269.79,50739486,0.932,126463980,863419367424
BRK-B,2023-07-12,Financial Services,23.750317,345.96,345.94,346.44,259.85,345.29,343.37,793392,1.287,2894880,758353428480
META,2023-07-12,Communication Services,82.45152,0.0,0.0,309.0,88.09,301.745,298.29,17491877,1.91,25815500,794899578880
V,2023-07-12,Financial Services,17.830027,243.26,243.17,243.94,174.6,241.55,240.55,1775901,1.082,5552600,507347468288
UNH,2023-07-12,Healthcare,-7.651025,457.7,457.27,558.1,445.68,463.0,462.89,2708009,0.718,3674920,426226450432
LLY,2023-07-12,Healthcare,36.261856,443.42,443.03,469.87,296.32,438.47,439.39,1322314,0.789,2720950,419910942720
WMT,2023-07-12,Consumer Defensive,23.354864,155.68,155.66,159.12,120.06,155.31,154.65,1218284,0.191,5214650,418386542592
JPM,2023-07-12,Financial Services,31.730854,149.44,149.39,149.8601,101.28,147.45,147.42,4135407,,,
JNJ,2023-07-12,Healthcare,-9.581625,158.64,158.64,181.04,150.11,158.94,158.63,2228229,0.678,6079380,412314501120
XOM,2023-07-12,Energy,24.905704,106.57,106.54,119.92,80.69,107.0,105.97,4939453,1.072,13844900,434901483520
MA,2023-07-12,Financial Services,23.016977,401.53,401.41,403.17,276.87,399.0,397.8,811508,0.768,2429330,384297598976
PG,2023-07-12,Consumer Defensive,1.6334891,148.71,148.71,158.11,122.18,148.03,148.08,1640670,0.344,6665450,350858543104
