ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
AAPL,2023-07-14,Technology,26.882862,190.01,190.0,194.48,124.17,190.23,190.54,21271537,0.764,51027070,2984992833536,191.175,189.725
MSFT,2023-07-14,Technology,33.476162,347.14,347.22,351.47,213.43,347.59,342.66,17355203,1.655,23387990,2572233474048,351.43,345.86
GOOG,2023-07-14,Communication Services,10.697281,125.35,125.34,129.55,83.45,125.13,124.83,12056005,2.195,21761090,1519972122624,127.09,124.9
AMZN,2023-07-14,Consumer Cyclical,18.27389,135.79,135.78,146.57,81.43,134.06,134.3,30849070,0.689,46875540,1391105015808,136.64,134.12
NVDA,2023-07-14,Technology,191.69522,467.8,467.86,480.4,108.13,465.828,459.77,46919482,2.672,36705960,1142720954368,480.4,462.29
TSLA,2023-07-14,Consumer Cyclical,15.759516,284.53,284.57,314.66666,101.81,277.01,277.9,77140927,0.932,114820090,891612037120,285.3,276.31
BRK-B,2023-07-14,Financial Services,23.362541,341.18,341.1,346.44,259.85,344.99,343.54,1053412,1.287,2887700,745757474816,345.44,341.045
META,2023-07-14,Communication Services,90.29144,311.93,311.93,316.24,88.09,311.79,313.41,13112274,1.91,28227430,799200182272,314.88,310.7
V,2023-07-14,Financial Services,15.839839,242.55,242.45,244.73,174.6,244.73,243.31,2205958,1.082,5750850,508080488448,244.73,241.96
UNH,2023-07-14,Healthcare,-15.478998,484.18,484.03,558.1,445.68,462.55,447.75,7270542,0.718,4393980,447612256256,485.0,460.11
LLY,2023-07-14,Healthcare,31.091679,448.64,448.37,469.87,296.32,441.1,434.7,1539950,0.789,2618980,426088595456,450.3885,441.3
WMT,2023-07-14,Consumer Defensive,19.41582,154.06,154.03,159.12,120.06,154.12,154.13,1367766,0.191,5127230,415693701120,154.62,153.58
JPM,2023-07-14,Financial Services,31.801678,149.09,149.06,152.89,101.28,151.55,148.87,18213059,,,,,
JNJ,2023-07-14,Healthcare,-10.896033,159.28,159.27,181.04,150.11,159.18,158.81,2131179,0.678,6242800,414653349888,160.17,158.9801
XOM,2023-07-14,Energy,23.65744,101.36,101.33,119.92,82.9,104.05,104.54,13295713,1.072,15219620,408502697984,104.05,101.02
MA,2023-07-14,Financial Services,20.44382,402.55,402.36,403.24,276.87,402.12,400.56,826282,0.768,2471130,381458579456,403.24,400.295
PG,2023-07-14,Consumer Defensive,2.6745677,149.39,149.38,158.11,122.18,149.27,148.95,2979008,0.344,6679770,352767705088,149.68,148.74
