Name,Ticker
Apple,AAPL
Microsoft,MSFT
Alphabet (Google),GOOG
Amazon,AMZN
NVIDIA,NVDA
Tesla,TSLA
Berkshire Hathaway ,BRK-B
Meta Platforms (Facebook),META
Visa,V
UnitedHealth,UNH
Eli Lilly,LLY
Walmart,WMT
JPMorgan Chase,JPM
Johnson & Johnson,JNJ
Exxon Mobil,XOM
Mastercard,MA
Procter & Gamble,PG
Broadcom,AVGO
Oracle,ORCL
Home Depot,HD
Merck,MRK
Chevron,CVX
Coca-Cola,KO
Pepsico,PEP
AbbVie,ABBV
Costco,COST
Bank of America ,BAC
Adobe,ADBE
McDonald,MCD
Cisco,CSCO
Salesforce,CRM
Pfizer,PFE
Thermo Fisher Scientific,TMO
Netflix,NFLX
Abbott Laboratories,ABT
AMD,AMD
Danaher,DHR
Comcast,CMCSA
T-Mobile US,TMUS
Nike,NKE
Walt Disney,DIS
Wells Fargo,WFC
Texas Instruments,TXN
Verizon,VZ
United Parcel Service,UPS
Philip Morris,PM
Nextera Energy,NEE
Raytheon Technologies,RTX
Morgan Stanley,MS
Intel,INTC
Honeywell,HON
Bristol-Myers Squibb,BMY
Lowe's Companies,LOW
QUALCOMM,QCOM
Boeing,BA
American Express,AXP
S&P Global,SPGI
Intuit,INTU
Caterpillar,CAT
Union Pacific Corporation,UNP
ConocoPhillips,COP
IBM,IBM
Applied Materials,AMAT
Amgen,AMGN
Deere & Company,DE
General Electric,GE
Lockheed Martin,LMT
Intuitive Surgical,ISRG
Prologis,PLD
AT&T,T
ServiceNow,NOW
Stryker Corporation,SYK
Starbucks,SBUX
Goldman Sachs,GS
Elevance Health,ELV
BlackRock,BLK
Charles Schwab,SCHW
Mondelez,MDLZ
Booking Holdings (Booking.com),BKNG
TJX Companies,TJX
Gilead Sciences,GILD
Analog Devices,ADI
Marsh & McLennan Companies,MMC
Automatic Data Processing,ADP
American Tower,AMT
CVS Health,CVS
Vertex Pharmaceuticals,VRTX
Citigroup,C
Uber,UBER
Lam Research,LRCX
Cigna,CI
HCA Healthcare,HCA
Altria Group,MO
Airbnb,ABNB
Zoetis,ZTS
Progressive,PGR
"Palo Alto Networks
",PANW
Fiserv,FI
Regeneron Pharmaceuticals,REGN
Southern Company,SO
